"","mean","sd"
"australian",0.845992991352426,0.0417897967894578
"banknote",0.993008040083858,0.00902892800874234
"breastcancer",0.955785592728527,0.0289651036942557
"breastHess",0.81140873015873,0.117189329223438
"bupa",0.62587994598393,0.0968010685455114
"climate",0.840109580524301,0.0682743795319942
"diabetes",0.720781382451372,0.0364395492095346
"fertility",0.5875,0.258663336281645
"german",0.671537874693257,0.0422523182078344
"golub",0.774166666666667,0.172152763771233
"haberman",0.563705988455988,0.0945170998071332
"heart",0.797769240563358,0.0824380709136016
"ILPD",0.56640156594811,0.0934551744775036
"parkinsons",0.897860195360195,0.148729907111241
"sonar",0.875954878454878,0.0794344106693768
