"","mean","sd"
"australian",0.379710144927536,0.0161709073442774
"banknote",0,0
"breastcancer",0.153244617462461,0.00624214876230488
"breastHess",0.389362745098039,0.0243411217816982
"bupa",0.482762161601494,0.0184456392160412
"climate",0.395473251028807,0.139242973598624
"diabetes",0.446759325096409,0.0115078097798099
"fertility",0.431111111111111,0.036589893437714
"german",0.468555555555556,0.0117244307790147
"golub",0.370456730769231,0.0310501602526882
"haberman",0.459675889328063,0.0218114810819387
"heart",0.432510288065844,0.0233961465095629
"ILPD",0.475533714268905,0.0145393613004425
"parkinsons",0.103607142857143,0.166833885059044
"sonar",0,0
