"","mean","sd"
"australian",0.66160669705548,0.177725599524715
"banknote",0.885182330616847,0.203123093418819
"breastcancer",0.975924986074313,0.0154288270062956
"breastHess",0.81538961038961,0.109769628147575
"bupa",0.637189980959499,0.0959802788854467
"climate",0.761962374090543,0.181428797545327
"diabetes",0.684299013016756,0.0607541297621902
"fertility",0.505555555555556,0.182292217812218
"german",0.559453998748159,0.10570595005801
"golub",0.741666666666667,0.169831070751475
"haberman",0.530640849488676,0.0968173104761833
"heart",0.825405158566923,0.085029538763033
"ILPD",0.522368324902743,0.0247875029366117
"parkinsons",0.646307234432234,0.0707477428456322
"sonar",0.714148629148629,0.155202865265531
