"","mean","sd"
"australian",0.337037037037037,0.0188106590081523
"banknote",0.0258319280310238,0.0264160285436256
"breastcancer",0.0733698789756627,0.0071782700727932
"breastHess",0.305742296918767,0.0319797310640135
"bupa",0.500175293019396,0.0529052017269432
"climate",0.0890946502057613,0.0112720983172525
"diabetes",0.450228369707971,0.0167207690063878
"fertility",0.202222222222222,0.0194576674615759
"german",0.413,0.0125713328163385
"golub",0.328653846153846,0.0875104043077011
"haberman",0.451339920948617,0.0235788616081011
"heart",0.350617283950617,0.0241364251829056
"ILPD",0.467475603209272,0.0182701152105155
"parkinsons",0.315074675324675,0.0388613595311941
"sonar",0.355779952212994,0.0206944739078904
