"","base_mean","base_std","lmnn_mean","lmnn_std","lfda_mean","lfda_std"
"australian",0.85,0.04,0.86,0.04,0.86,0.03
"banknote",0.99,0.01,1,0,0.97,0.03
"breastcancer",0.96,0.03,0.95,0.04,0.97,0.02
"breastHess",0.81,0.12,0.79,0.14,0.74,0.11
"bupa",0.63,0.1,0.58,0.05,0.72,0.08
"climate",0.84,0.07,0.87,0.08,0.88,0.11
"diabetes",0.72,0.04,0.72,0.04,0.73,0.06
"fertility",0.59,0.26,0.58,0.23,0.59,0.19
"german",0.67,0.04,0.69,0.04,0.7,0.05
"golub",0.77,0.17,0.68,0.23,0.59,0.17
"haberman",0.56,0.09,0.58,0.09,0.57,0.07
"heart",0.8,0.08,0.79,0.08,0.84,0.06
"ILPD",0.57,0.09,0.57,0.1,0.65,0.07
"parkinsons",0.9,0.15,0.91,0.13,0.79,0.11
"sonar",0.88,0.08,0.85,0.08,0.76,0.13
