,base_mean,base_std,lmnn_mean,lmnn_std,lfda_mean,lfda_std
australian,0.86,0.04,0.86,0.04,0.86,0.04
banknote,1.0,0.0,1.0,0.0,0.99,0.01
breastcancer,0.97,0.01,0.97,0.02,0.97,0.01
breastHess,0.78,0.1,0.78,0.12,0.74,0.12
bupa,0.67,0.07,0.67,0.07,0.7,0.04
climate,0.58,0.09,0.68,0.11,0.73,0.11
diabetes,0.71,0.05,0.7,0.05,0.72,0.04
fertility,0.5,0.0,0.5,0.0,0.5,0.0
german,0.67,0.05,0.68,0.04,0.69,0.05
golub,0.82,0.17,0.54,0.12,0.48,0.16
haberman,0.51,0.04,0.5,0.03,0.55,0.07
heart,0.8,0.06,0.82,0.07,0.81,0.06
ILPD,0.5,0.01,0.5,0.01,0.5,0.01
parkinsons,0.81,0.11,0.83,0.12,0.77,0.14
sonar,0.84,0.09,0.87,0.06,0.81,0.09
