dataset,size,sup,edit,ratio
australian,621.0,237.8,290.4,0.16931668043832332
banknote,1234.8,90.5,1169.3,0.5722380173383187
breastcancer,614.7,83.5,519.3,0.35373267761780497
breastHess,119.7,70.4,43.6,0.20821939744460152
bupa,310.5,252.8,28.3,0.04827616145705638
climate,486.0,139.4,86.0,0.008584697055255787
diabetes,691.2,391.0,160.0,0.0649778728797085
fertility,90.0,40.0,48.0,0.1994619583596533
german,900.0,563.7,112.7,0.019520137566279187
golub,64.8,51.7,14.9,0.2019287688914991
haberman,275.4,157.6,85.1,0.12505950155270437
heart,243.0,131.8,87.2,0.10250072529737397
ILPD,521.1,331.5,143.4,0.10520740745448423
parkinsons,175.5,85.9,109.3,0.398441929108276
sonar,187.2,140.6,24.0,0.07540552456345084
